id,Indicativo,HoraDespegue,RutaSACTA,TipoAeronave,Estela,ProcDesp,PistaDesp
841,VLG5XA,02/05/2023 18:46:59,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS USERA CDB BETIX ZL002 TENDU IF09ZL FA09ZL TH09ZL,A20N,Media,LOTOS5Q,LEBL-24L
842,BCS8029,02/05/2023 18:48:19,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,B734,Media,DALIN4Q,LEBL-24L
843,VLG37QW,02/05/2023 18:49:40,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A321,Media,LARPA5Q,LEBL-24L
844,VLG1CL,02/05/2023 18:50:45,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
845,RYR59DM,02/05/2023 18:52:06,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A320,Media,AGENA5Q,LEBL-24L
846,EZY31ZM,02/05/2023 18:53:26,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
847,VLG7LH,02/05/2023 18:54:47,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A321,Media,OLOXO1Q,LEBL-24L
848,VLG3518,02/05/2023 18:56:27,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS IB810 ADX NEGRE OLPAM TUTOT IB911 IB912 IB913 IB930 DEMEV TIVOM OSNUK FA06IB TH06IB,A320,Media,LARPA5Q,LEBL-24L
849,UAE188,02/05/2023 18:57:43,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,B77W,Pesada,DIPES1Q,LEBL-24L
850,VLG3EB,02/05/2023 19:00:09,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A320,Media,SENIA5Q,LEBL-24L
851,WZZ012,02/05/2023 19:01:34,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,A21N,Media,AGENA5Q,LEBL-24L
852,RYR3185,02/05/2023 19:03:00,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS DCT 4023N00046E DCT 4018N00039E 003(TORDU) 022(DIKUT) 015(SOPET) 030(VLC) 021(SERRA) ASTRO POBOS XEBAR YES MAMIS BAZAS VIBAS MGA PIMOS GALTO **,B738,Media,LOTOS5Q,LEBL-24L
853,VLG3QJ,02/05/2023 19:04:25,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VLA BL814 LRD GRAUS POSSY MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN MALOB CEGAM BLV 13BLV IF12BB FA12BB TH12BB,A320,Media,GRAUS5Q,LEBL-24L
854,VLG8AY,02/05/2023 19:05:46,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS DCT TORDU DCT 4006N00022E 008(DIKUT) 015(SOPET) 030(VLC) 021(SERRA) ASTRO DCT POBOS DCT XEBAR DCT YES DCT MAMIS DCT BAZAS DCT VIBAS DCT MGA DCT PIMOS GALTO **,A20N,Media,LOTOS5Q,LEBL-24L
855,RYR1LV,02/05/2023 19:07:31,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,B738,Media,LARPA5Q,LEBL-24L
856,VLG688V,02/05/2023 19:08:47,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA DCT MAROT DCT LUMAS **,A319,Media,AGENA5Q,LEBL-24L
857,VLG3PQ,02/05/2023 19:10:37,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD NATPA MELON CCS **,A320,Media,SENIA5Q,LEBL-24L
858,RYR16LD,02/05/2023 19:11:58,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,B738,Media,NATPI2Q,LEBL-24L
859,EJU74GF,02/05/2023 19:15:44,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,A319,Media,DALIN4Q,LEBL-24L
860,RYR48RQ,02/05/2023 19:17:30,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,B738,Media,AGENA5Q,LEBL-24L
861,VLG6DT,02/05/2023 19:19:41,DR24LB F34BL BL800 NITBA BL809 BL810 DUNES SARGO 15MHN6 TETIS F06MH BALIO IF01MH FA01MH TH01MH,A20N,Media,DUNES5Q,LEBL-24L
862,IBE3041,02/05/2023 19:21:21,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO MD001 SIRGU RUDBI MD570 MD575 YAYHO FA32RM TH32RM,A320,Media,SENIA5Q,LEBL-24L
863,AFR68FK,02/05/2023 19:24:23,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A320,Media,OLOXO1Q,LEBL-24L
864,BAW487,02/05/2023 19:29:25,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
865,TAP45LV,02/05/2023 19:31:00,DR24LB F34BL BL800 NITBA BL804 BL806 BL836 SENIA DORMI CRETA NEXAS DISVU ADUXO ELROT CJN PALIO AKOKI GOTOR TLD NATPA MELON CCS **,A20N,Media,SENIA5Q,LEBL-24L
866,BEL7JN,02/05/2023 19:33:01,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,A319,Media,OLOXO1Q,LEBL-24L
867,VLG5NZ,02/05/2023 19:38:12,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,A321,Media,LARPA5Q,LEBL-24L
868,RYR7509,02/05/2023 19:40:03,DR24LB F34BL BL800 NITBA BL809 BL810 DUNES SARGO 15MHN6 TETIS F06MH BALIO IF01MH FA01MH TH01MH,B738,Media,DUNES5Q,LEBL-24L
869,RYR56MP,02/05/2023 19:51:12,DR24LB F34BL BL800 BL805 BL811 BL827 AGENA MAROT LUMAS **,B38M,Media,AGENA5Q,LEBL-24L
870,VLG9ZA,02/05/2023 19:53:02,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VLA BL814 LRD GRAUS POSSY MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN MALOB CEGAM BLV 13BLV IF12BB FA12BB TH12BB,A320,Media,GRAUS5Q,LEBL-24L
871,VLG3CP,02/05/2023 20:00:15,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,A320,Media,DIPES1Q,LEBL-24L
872,WMT424,02/05/2023 20:02:26,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES DCT TOSNU LAPIT OSPOK **,A320,Media,DIPES1Q,LEBL-24L
873,RYR33JW,02/05/2023 20:05:47,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,B738,Media,OLOXO1Q,LEBL-24L
874,VLG4LJ,02/05/2023 20:07:12,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
875,BCS8031,02/05/2023 20:08:38,DR24LB F34BL BL800 BL805 BL812 DALIN PIVUS DIBER **,B752,Pesada,DALIN4Q,LEBL-24L
876,AEA70JK,02/05/2023 20:11:14,DR24LB F34BL BL800 NITBA BL809 BL810 LARPA TOLSO LISAS F33PA POS BAVUM OBUMU FA24LP TH24LP,B738,Media,LARPA5Q,LEBL-24L
877,VLG5UY,02/05/2023 20:20:17,DR24LB F34BL BL800 NITBA BL804 BL807 BL808 LOTOS TORDU DIKUT SOPET VLC SERRA ASTRO POBOS XEBAR YES MAMIS USERA CDB BETIX ZL002 TENDU IF09ZL FA09ZL TH09ZL,A320,Media,LOTOS5Q,LEBL-24L
878,EZY64WK,02/05/2023 20:21:43,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A319,Media,NATPI2Q,LEBL-24L
879,DAH2015,02/05/2023 20:26:04,DCT DR24LB DCT F34BL DCT BL800 DCT NITBA DCT BL809 DCT BL810 DCT 4040N00220E 002(LARPA) 007(TOLSO) 018(LISAS) 047(MJV) 025(OSGAL) 045(GENIO) BUYAH **,A332,Pesada,-,LEBL-24L
880,BCS8049,02/05/2023 20:31:01,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,B752,Pesada,OLOXO1Q,LEBL-24L
